电影名,用户昵称,评论内容,评论日期,点赞数,星级数
我不是药神,方枪枪,一会逗你笑，一会又让你哭。王传君吃火锅最后面对徐峥那段：由嬉皮笑脸到嘴角抽搐再到心碎无奈推门而出，微表情拿捏到位，太好了。,2018/6/30,1765,40
我不是药神,Peter Cat,对《药神》所有褒奖都建立在中国电影市场的贫乏和落后之上，纯从视听剧作的技艺层面，《药神》只是一个中规中矩没犯错的工业标准产品，甚至在导演层面是平庸的，连一个令人印象深刻的调度或者美学设计都找不到，如何可能有欲望再看一遍呢？但它又给中国工业指向了一个正确方向...,2018/7/1,1169,30
我不是药神,谢飞导演,祝贺学院硕士毕业生文牧野出手不凡，导演了这样一部扎实、感人、有见地的处女作！看片中常在想：在疾病、死亡面前，一些常规的道义、是非怎么都成了反意？先人说过“合情合理才是好法。”那么实践证明已经不合情理的法律规章就应该改掉它！直面现实，促人思索，这样的作品值得夸赞！,2018/7/10,861,50
我不是药神,袁牧,看了一下差评，基本是自诩为独立专业的几个影评人给的吧，果然又要说电影语言，商业媚俗之类，固然把这个题材拍成侯孝贤、蔡明亮那样，影评人会有高潮，但你们其实喜欢的是影院里就坐着你们两三个人那种感觉不是吗？没有这种电影，电影人在时代急速抛弃弱势群体的巨变中，就是完全失语的。,2018/7/6,1487,40
我不是药神,把噗,"极不舒服的“现实""消费，比??还恶劣。",2018/6/30,892,20
我不是药神,吃瓜少年,连群演老太太都猛戳我泪点，以后再也不能吹自己泪点高了,2018/7/1,1428,50
我不是药神,南悠一,当看见草坪上奔跑的孩子，你流下了两行“前后紧密相连”的热泪：第一行是说，看见了孩子在草地上奔跑，多好啊；第二行是说，和所有的人类在一起，被草地上奔跑的孩子们所感动，多好啊。（我复制的，没错，这部电影太媚俗了，因为看完你只会觉得自己一定要多挣钱。）,2018/7/4,767,20
我不是药神,Volcano,这九分并不是针对这部电影的基本创作，而在于它的题材，表现的社会现实意义大过了电影里的其他东西..拍成这样，7.0 over,2018/6/30,839,20
我不是药神,谢谢你们的鱼,它远远不够好，但是对于现在的中国电影市场来说，它又好得要命。,2018/7/3,1051,40
我不是药神,西楼尘,病是一种罪，上帝也不能赦免；穷是一种病，药神也无法医治。思慧把脱掉的衣服一件件穿上，黄毛把留长的头发一寸寸剪下，程勇把缺口补上，受益把口罩摘下。法和情谁上谁下，命和钱谁上谁下，灾厄的红药水抹到谁的头顶，侥幸的救世主降到何方人间。许多人终其一生都在寻一种药，没药的世界我们能不能活？,2018/7/4,912,30
我不是药神,柯里昂,“送出去挺好的，将来比咱们有出息”，结合全片看这句台词会非常有意思。前半段刻意营造的笑料过多，同时使得整部片的意旨变得暧昧不清，而原型人物的重量和意义也被那一个个太过戏剧性（和喜剧性）的情节所无形消解。以及，在这个首尾都需要字幕进行“立场矫正”的环境下，还是别类比《达拉斯》了吧。,2018/6/30,656,30
我不是药神,冷月心,8.5，给五星以资鼓励。每个人都演技在线，演思慧的女演员在暴裂无声里演哑巴的老婆，演得真的很好，心目中的今年国产片前二竟然都有她。,2018/7/4,923,50
我不是药神,阿北,好电影,2018/7/16,453,50
我不是药神,刘小黛,虽然有刻意有煽情，但是这个时代触碰这样的题材实在难得，电影拍出了集体群像下的人物特质，还拥有了史诗感。现实题材不做无畏的对抗，只是展现。魔幻到让人怀疑真实，但是根据真事改编的真相知道后更是眼泪掉下来。主角原型无锡药侠陆勇先生，企业家，有白血病，电影作了一定模糊处理，新闻了解一下。,2018/7/3,790,40
我不是药神,刘肥燕,怎么不能拿《达拉斯买家俱乐部》说事了？同样的题材，人家对人性挖掘地多好，我们只会煽情。,2018/7/4,581,30
我不是药神,德川咪咪,《我不是药神》看到后半段，纽太普疯狂地啜泣起来，声音超大，以至于前后左右都开始看我们。情急之下，我从裤子口袋里拉出一个口罩帮他戴上。顿时大家露出了了然又理解的表情。,2018/7/7,557,50
我不是药神,怂人皮埃罗,程勇的脸像七月的天说变就变，人物行为逻辑全没毛病就是最大的逻辑毛病，和张院士干架那场戏完全就是胡来，正反派说唱脸谱，药价贵药价贵药价为嘛贵？洞悉人性拉倒吧，“谁家没个病人啊”昭然若揭，利用同理心搞场社会宣泄罢了。影像更别提。,2018/7/4,479,20
我不是药神,末摘花,意外发现王传君的演技真的很棒,2018/7/4,705,50
我不是药神,刮刮油,带着浓浓的宁浩味，胜在题材，和徐峥。“世界上只有一种病，穷病，穷病救不了的”，直白的说到了痛处。一边卖药赚钱，一边拿钱买命，一切法和理，都在“活着”面前脱得赤条条。最后那段话为过审的目的明显，实际上格列卫尽管被列入部分地区的医保，却是有条件的，实际情况哪是这么一句能总结的。,2018/7/5,540,50
我不是药神,本位,被导演直接拿剧情糊在了脸上，观感就像是张院长在台上滔滔不绝地介绍德国格列宁。,2018/6/30,411,20
我不是药神,乌鸦火堂,虽不算完美，有些国产片的小毛病，但牛逼在于华语片环境下这个故事和题材，以及所有的演员。敏感的社会话题，法外义侠的设定，对现实的反衬，对制度的思考，群戏太棒。徐峥和宁浩，在《无人区》之后又一次探明了审查的底线，还有这个类型片的价值，对于华语片意义重大,2018/7/4,511,40
我不是药神,羚羊的灵魂,我一直以为牧师是金士杰演的哈哈哈哈哈哈竟然不是,2018/6/30,459,40
我不是药神,李小丢,年度最佳预定，旁边座的姑娘哭的都抽抽了，忍不住递过去一张纸巾。怪不得王传君不愿意去掺和爱情公寓电影，有这样的电影演谁要去演抄袭剧？配角个个出彩，真实可感的平凡人已经在这个大银幕上消失太久了。,2018/7/1,502,50
我不是药神,Westin,韓國商業片的路子，中國特色的結局，怎麽煽情怎麽來，2018之“中囧”。,2018/7/1,398,20
我不是药神,帕拉多克斯,嗯不知道是该高兴还是失望，中国（全亚洲都)在向韩国看齐拍所谓改变国家的狂煽情样板戏，故事写的不错，但总觉得它们不是电影。,2018/6/30,316,30
我不是药神,无情,看的时候记得带好纸巾[捂脸]我觉得不论这部片拍摄手法如何艺术价值多高，这种题材的电影能够过审就是很大的进步了。韩国能够凭借《熔炉》改变国家的法律，一部好的现实题材的电影的意义可能会远远高于作品本身。希望大家都去支持一下优秀国产片的票房??,2018/7/4,626,50
我不是药神,不瓜迪,哭哭 无法想象我活在一个陈赫比王传君火的世界,2018/7/9,376,50
我不是药神,Spoiler,完全靠身边人安利，说是上半年欣赏过的最好电影不为过。或许不是每个人都得过“穷病”，但总看过这样的人，剧情不道德绑架，也让很多人去了解原型和幕后，里面那位卖假药的审问室时表现让我惊讶,2018/7/3,420,40
我不是药神,长安街最靓的仔,看《我不是药神》时的我：??????????????????????????????（??给结尾的周一围） 如果这个暑期档爆且只爆一个片子 我希望并相信会是这部 更希望未来能有更多此类型的电影上映 代表我自己宣布此片提前锁定年度最佳了,2018/7/4,495,50
我不是药神,王大根,无法想象下一部这样的电影会是什么题材、能是什么题材，感觉就像是领受了上头扔下来的一根肉骨头一样。王传君真的太好了，周一围最后靠在车上等人的那一幕帅得我愿意为他入狱三年……,2018/7/10,233,40
我不是药神,冰山李,宁浩就别洗白了，是不是题材好就可以瞎几把拍？,2018/7/4,263,10
我不是药神,二月鸟语,影片风格上有着文牧野一贯的克制和冷静，以及他明确的诉求，我不觉得像韩影，本质上是一种属于中国的本土的电影(可能徐峥偏爱韩影和港片)。剧作上，把研发药的原创公司做成反派，把政府形象做正的处理使得反派模糊化了，这种商业化的处理应该和宁浩有关，也应该是目前审查上最大的尺度了。文牧野成了。,2018/7/2,412,40
我不是药神,胤祥,从剧作摄影到导演技巧都堪称典型的电影学院风格，不过组了个酷似初代复联的队伍也是蛮有趣的。徐峥和王传君大概要横扫各种表演奖了。这个片子能过审已是不易，有些剧作合理性，具体导演手法和意识形态面向上的问题也就不太好去苛求了。想一想觉得还是值得为这部片吹一波的。,2018/7/5,231,40
我不是药神,黄青蕉,《我不是药神》值得完整五星，叙事，表演，节奏，镜头都是年度最佳，唯一的短板可能就是树了正版药厂这个假敌人，但是国产电影嘛，也要理解，不算主动做恶，只能算被动装傻。徐峥真的厉害，小奸大勇，脸上都能看到一点宋康昊的影子了（不是说肥），王传君周一围都很好，这样的电影票房好，让人充满希望,2018/7/10,231,50
我不是药神,[已注销],现实题材具有的社会意义为片子加分不少，但戏剧化改编上存在不少瑕疵，剧情走向重升华，人物塑造都太正面化，煽情尤其太过，如果能再克制点更好，类型上其实仍是大陆那一套。看过GQ对原型人物陆勇的特稿后，了解到本案曾被官方当做正面典型来宣传，为影迷所诟病的广电式结尾实其来有自。膜一膜徐峥,2018/7/1,247,20
我不是药神,大旗虎皮,贴身移动镜头跟拍，强化了写实风格。镜头调度尽量隐藏在人物运动和情节的背后，看上去似乎没什么风格，无非是中近景的对话正反打，加偶尔摇一下，事实上，镜头的跟进、位置、角度和细微运动都很严谨，与影片的现实感非常契合。一个藏着拍的导演。,2018/7/4,216,40
我不是药神,彭萦,个人推动改革的一个好故事。归根结底，制药公司不应该做救世主，执法人员不应该做救世主，普通人就更不应该做救世主。救世主是谁？国家啊。得靠健全的医保制度。,,202,
我不是药神,神奇海螺,这才是我们需要的现实主义！悬浮剧横行的当下，药神简直是一针救命的强心剂，为如何处理现实改编题材，兼顾深度与观赏性，提供了模范样板,2018/7/4,341,50
我不是药神,圣诞艺仔??,懦弱、贪财、甚至家暴的小人物，最后却咬着牙把善事做到底——其实大部分人都是这样，即非至纯至善，也非穷凶极恶，但是看见了，没办法假装没看见。,2018/7/4,271,40
我不是药神,琦殿,虽然最后一幕让我想起还珠格格二劫法场，还是哭了。,,159,
我不是药神,顿河,所有的批评、思考、讨论，都应该建立在这已经是一部勇敢、积极、努力过了的电影，而且成色很不错。看看结出什么样的果，至少得想想这是什么样的土壤。导演的成熟之处，不在于在一部电影里呈现了自己的全部能量，而是呈现了自己的选择，并把选择做到了最好，那就对得起自己了。,2018/7/5,186,50
我不是药神,zitsunari,年代感还算不错，挑点错吧：2002年4月26日（锦旗上日期）之前是不存在QQ群的；2003年百度还没有熊掌logo。,2018/7/5,199,30
我不是药神,邓安庆,真是动人！完全没想到这么好看，哭成狗了。也是罕见地在影院里没看到有人刷手机。希望徐峥能拿影帝。,2018/6/30,306,50
我不是药神,文森特九六,显而易见的，并不是一部多么出众的电影，却也是一部值得些许尊重的电影。,2018/7/1,200,30
我不是药神,末春,希望这片子更快冲向高票房，驱动资本转向优质现实主义题材。,2018/7/3,248,40
我不是药神,半弦月,中国电影是道填空题。讨厌辛德勒的名单,2018/7/1,150,10
我不是药神,大卫·独处尼,走的是辛德勒名单的路子，可惜不敢打老虎，只是在老虎的默许下把狐狸揍了一顿，这极大的削弱了电影的力量，别跟韩影比了，比不了。,2018/7/5,187,20
我不是药神,博淙,昨晚看完，现在想想还是很激动，我在想，如果我是一名白血病患者，会怎样？我想也会期待那样的一个药神出现。影片结束后，所有观众自发的鼓掌，这是我观影这么多年寥寥几次。所有演员在线，连群演都大妈都让人泪奔。一个开头笑最后哭的片子，预测年度前三！,2018/7/3,353,50
我不是药神,shininglove,这部“社会现实主义商业类型片”既成功撩动了广大民众情绪，又释放了各阶层的生存焦虑，浓得像一团炸药，各处开花，飞火流星，把弱者包围，将强者笼罩。药神和战狼一样，都属于这个时代的超级英雄，不知不觉为沉默的大多数代言。,2018/7/5,145,40
我不是药神,中立的手指,怎么过的审？甚至我公安机关的大Boss在片中都是一个略负面的角色。如果此片叫好又叫座，各路资本一拥而上带火了社会现实电影，广电总局会不会再举屠刀啊,2018/7/5,208,40
我不是药神,易老邪,很好的题材和故事原型，可惜处理的太飘了。主线故事不够扎实流畅，人物转变突兀没有说服力，支线乱加戏，过于热衷添设煽情催泪戏码。,2018/7/2,162,30
我不是药神,成知默,我认识一位姑娘，曾只身赴印度买仿药；也听闻不少病人，因药价太高而放弃治疗，并很快去世。本片短板很明显，甚至粗糙，但感谢让更多人关注到这个群体。虽有个光明的结尾，但不应一味强化药厂和患者之间的矛盾，尤其现实是零关税下药价未降，药进医保却因缺药而买不到药，但愿一切都不只是粉饰太平。,2018/7/6,204,40
我不是药神,Mr.Z,国内大银幕少有的现实题材，但是可能是被剧透了，期待值爆炸，所以有一点点点点遗憾，但是每个老师的表演都超级无敌棒！值得学习！,2018/7/7,246,50
我不是药神,风间隼,表面说的是药，深层说的是命。药能治病，命却不由自主，这是影片锲入中国现实的关键，也是引发大众共鸣的核心。盛世危言，却让人能看到希望，仅此一点，就足以让人忽略因商业和审查做出的种种妥协。它不完美，但是中国电影应该努力的方向。,2018/7/5,183,50
我不是药神,明安,这个电影让我躲入人群中合理流泪。,2018/7/8,155,40
我不是药神,不良生,从“中年油腻渣男困顿潦倒之际找到契机实现人生灵魂的升华”这个角度，只想给一星；从“中国病患困苦于医疗制度吃药难要么倾家荡产高昂天价购买进口药要么被禁止买仿制药只得等死”这个反映和揭露现实角度，真想给五星。,2018/7/1,168,40
我不是药神,草威,好看是料到了，没想到拍得如此朴素、扎实、流畅。文牧野是个实干派导演，他没打算要一部神作，就本本分分讲个好故事。正因如此，它对现实的关怀才显得周到、细心、准确。徐峥奉献了宋康昊级别的演出。,2018/7/4,163,40
我不是药神,Duckweed,抄袭抄袭抄袭啊麻烦清醒一点！,2018/7/5,105,10
我不是药神,River,非常赞同的一句话—“不能因为题材好，就可以无视其他的都给高分吧”,2018/7/4,137,30
我不是药神,大奇特(Grinch),改编自著名的陆勇案，医改前国人对医药问题的漠视，合理求生欲在法律面前的抗争。在还原了事件原型之余，加入了群戏和戏剧张力，落脚于伦理与法律的博弈。尽管弱化了诉讼的过程，但已经构成了对生命的敬畏。黄毛彭浩是宁浩致敬自己《疯狂的赛车》的黄毛耿浩吗？,2018/6/19,135,40
我不是药神,朝阳区陆依萍,全方位通俗且教科书，符合主流国内观众观影水准式的改编，这样的题材和最后的呈现能做到这样，非常值得尊敬，但整体艺术水准不如《嘉年华》！,2018/7/1,148,30
我不是药神,Jasmine,这个片子如果给自己的定位是一部传记片，一些问题是可以接受的，但它明显不是传记片，作为剧情片来说，那些问题就真是问题了，比方说打女人这个初始人设。还有很多地方给人感觉用力过猛。前半段剧情拼命赶，你仿佛能看到一个计划表，要在几分几秒完成什么任务，后半段又有些黏糊。然后片方当初宣传公关的所谓关注现实题材的点，其实也都用力过猛甚至夸张到让我反感的地步了，所以我坚决没去影院直到现在才看。在我的标准它是个7分的片子，对国产片宽容，四舍五入鼓励性打四星。,2018/11/17,0,40
我不是药神,猛汉世雄,真是一部让人痛苦的电影，看得人不想说话，只想流泪。,2018/7/6,118,50
我不是药神,寒枝雀静,C/本质是回避体制分析的个人英雄主义抒情，但又可通过全球化对位来映射分化的国内阶层。与其说是对商业道德的歌颂不如说是一次对市场和调控都完全无法拯救的社会绝境乐观且粗糙的描绘。大资本与律法的刻画都还是太程式化，光靠正面力量的情感支撑显然不够。越到后半程剧作推着走的痕迹就越重。,2018/7/3,86,40
我不是药神,水怪,这样难得有态度、立场、尊严的电影，是需要有观众情绪足够的累积呼应，才能产生完整能量核的。这甚至与票房无关，票房只是结果。韩国的社运片可以屡破纪录，中国观众没有理由比他们差。,2018/6/30,191,50
我不是药神,fateface,有人说冲着敢拍这个社会题材就要好评。我觉得是很纯熟的商业片模式，该哭的地方哭，并没有意外。最后剧情失控了，往假大空的路上越走越远……,2018/7/9,66,40
我不是药神,W小姐（吴桐）,国产片的闪光之作，当然现实生活依然很残酷。里面最不舒服的地方就是药贩徐峥洗手不干的时候，白血病人对他的道德绑架。如果不是为了赚钱，帮忙搞到药是情份，不帮是本分，干嘛一个两个都好像欠了他们一样。你要死了，就无所谓也搭进去别人的人生？所以全程无泪点，结尾有小感动。徐峥戏真是好。,2018/7/7,102,40
我不是药神,陆支羽,3.5。1.笑中带泪，敢拍这题材的确是填补空缺了；文牧野导演不负众望，而徐峥的演技同样经得起考验。2.确实没必要以《达拉斯买家俱乐部》来衡量本片，各有各的活法。,2018/6/20,87,40
我不是药神,咱说,我们终于成功学会了韩国某种现实题材类型片讲故事的方式。这个反映现实的片子好看，却又并没有触及什么现实。它给徐峥、周一围包括牧师所设定的若干道德两难命题，流于表面，并不复杂和纠结，至少没揪起我作为一个观众的心。中国观众需要《药神》这样好看的电影，但这样的电影绝不能止于好看而已。【华纳永润】,2018/7/8,69,40
我不是药神,犹在镜中,改编改变了主人公身份，加了戏剧冲突，以此升华主角使其变得崇高，体现情理和法理的二律背反主题。可毛病不少：脱口罩礼赞加夹道欢送，这是什么待遇？有造神嫌疑；特写多，摇镜粗暴，艺术性差，由此剧情显得非常扎眼，易被认为在绑架观众。但演员出色，感情细腻，加上题材缘故，还是给个中评吧。,2018/7/1,87,30
我不是药神,Neroat,看的点映，是好电影，感觉是中国版的达拉斯买家俱乐部。开篇宁浩徐峥的名字配上印度神曲让我以为是喜剧，后来发现是社会现实题材，在完全没有心理建设的情况下好几次被触动得眼眶发红。演员表现都很不错。后期一直在思考，法律和道德哪里才是平衡点呢？,2018/7/4,164,40
我不是药神,方洛洛,能在大屏幕上看到这种题材的中国电影，本身就是一种进步。,2018/7/4,148,50
我不是药神,叶阿福,社会主义初级阶段的电影电影院里男女老少的啜泣声，一结束就马上跑出来的我表示十！分！恐！怖！1星原因实在是困惑为什么这么多5星？,2018/7/5,108,10
我不是药神,mumudancing,好看的电影无非三种：极爽，极美，极有共鸣。人人都怕老病死，人人都怕上下为难的中年，人人都有为谋生计不得不做的事情，人人亦都向往真与善……是这些时刻集中起来让煽情的中年油腻英雄不那么脱离现实。瑕不掩瑜，从长远来看，也许它是一部可以和《熔炉》相提并论的电影。,2018/7/4,105,40
我不是药神,萨库拉,戏里戏外，每一层文本都很中国。中国式现实主义其实是个童话，中国人世世代代都需要假想的侠，中国人有了钱就有了尊严可以砸人跳脱衣舞，中国电影的逻辑置换绕太多弯外国人大概看不懂，所以这个片子在中国取得巨大成功并没有什么好奇怪的，它迎合的是每个中国人的X点。,2018/7/7,71,30
我不是药神,每日可爱二百人,当然不能跟影史上那些堪称伟大的纪实电影相比，也不能用过高的艺术标准去衡量它。硬去推敲细节的话，是有粗糙和漏洞的，煽情也过度了些。但作为商业片，在中国这样的审查制度下，拍到这个程度已经很好了。学不了美国，学学韩国印度，用电影揭露和改变社会，最好；暂时改变不了，能引起重视也是好的呀。,2018/7/6,95,40
我不是药神,Ada Wang,对结局稍有失望和遗憾，如果导演在男主被关押上车后街上病人行注目礼黑屏戛然而止显然会更加真实，更加引人深思。只可惜后面又多了几秒呵呵，有时候，我们需要等待社会进步，福利越来越好，但是有些生命已经等不起了，这个残酷的问题丢给了观众，我渴望着一个答案。优秀的反思现实的国产片但是分数虚高,2018/7/4,90,40
我不是药神,肖浑,徐峥从小人物到救世主被拔得有点太急太高了，最后煽情让我憋眼泪憋得头疼，有几个场面过于戏剧化，不过都可以理解，依然值得鼓励。,2018/7/6,87,40
我不是药神,袁长庚,需要多少滑稽和猥琐才能讲一个高尚的故事，需要多少眼泪和亲情的糖衣才能吐一口反对的唾沫，需要多少条命多少升血才能论证救赎的必要意义？别问我对这个电影的看法，这特么哪是电影能聊的出来的？,2018/7/9,68,40
我不是药神,欢乐分裂,3.5；题材制胜，不无煽情仍是动人，“长的是磨难短的是人生”贫穷是无法医治的病，资本社会里情义无法开出希望的空头支票，底层蝼蚁的微茫呐喊虽无异于蚍蜉撼树，但透过这微光或许还有挣扎的可能；从浑噩到清醒，并无神祇降临，唯有自救自渡，尺度拿捏准确，戏剧层面的现实视野，太需要这样的国产片。,2018/7/1,74,40
我不是药神,妖灵妖,非寻常视野里的上海,2018/6/30,65,40
我不是药神,美神经,完全没想到这么好看，哭了。,2018/7/4,128,50
我不是药神,刘康康,可以说达到了韩国社会问题片的水准，与其跟《达拉斯买家俱乐部》对比，倒不如跟《辩护人》、《熔炉》对比，相似点更多。当然也有韩国电影一样用力过猛、煽情太过的毛病，比如最后病人自发来到马路边送行。但整体还是让人惊喜，希望这样的电影越来越多。,2018/7/1,79,40
我不是药神,白眉道长,光是挑战这种题材的勇气，就值得打五星,2018/7/3,126,50
我不是药神,黑凤梨,非常催泪的电影，很久没有看过这样好好讲故事的国产现实题材电影了。“他们只想活着，有什么错呢”，被徐峥、章宇、王传君、杨新鸣、谭卓和老奶奶感动得一塌糊涂。,2018/7/4,165,50
